ADEP,ADES,cluster_kmeans,AC Type,n,delta_dist_nm_mean,delta_dist_nm_std,delta_dist_nm_p5,delta_dist_nm_p95,delta_duration_h_mean,delta_duration_h_std,delta_duration_h_p5,delta_duration_h_p95,delta_fuel_kg_mean,delta_fuel_kg_std,delta_fuel_kg_p5,delta_fuel_kg_p95
CYYZ,EGLL,0,B788,1,32.2,,32.2,32.2,0.72,,0.72,0.72,3742.5,,3742.5,3742.5
CYYZ,EGLL,0,B789,7,21.63,54.13,-19.05,107.81,0.22,0.23,-0.04,0.48,1198.23,1242.39,-228.45,2628.3
CYYZ,EGLL,1,A333,4,26.7,41.84,-4.16,77.29,0.24,0.12,0.14,0.39,1476.38,766.14,886.94,2390.72
CYYZ,EGLL,1,A35K,2,27.35,23.55,12.36,42.34,0.31,0.05,0.28,0.34,1799.65,296.21,1611.14,1988.16
CYYZ,EGLL,1,B772,9,27.69,16.07,10.66,48.96,0.2,0.16,0.08,0.48,1338.12,1086.29,505.9,3140.7
CYYZ,EGLL,1,B77W,7,19.36,14.29,4.52,36.22,0.27,0.24,-0.0,0.6,2130.43,1853.83,-2.39,4682.16
CYYZ,EGLL,1,B788,1,14.2,,14.2,14.2,0.37,,0.37,0.37,1926.9,,1926.9,1926.9
CYYZ,EGLL,1,B789,13,32.25,33.84,4.26,83.08,0.3,0.18,0.04,0.54,1657.25,969.91,212.34,2948.92
CYYZ,EGLL,1,B78X,3,27.3,25.77,1.89,43.47,0.26,0.18,0.09,0.4,1690.57,1152.22,579.93,2609.52
CYYZ,EGLL,2,A333,9,23.3,71.55,-41.18,121.0,0.2,0.27,-0.13,0.52,1220.5,1659.13,-826.3,3241.9
CYYZ,EGLL,2,A35K,4,34.85,52.85,-12.98,85.06,0.24,0.24,-0.05,0.4,1370.65,1396.53,-309.25,2304.56
CYYZ,EGLL,2,B772,12,33.18,42.38,-5.86,115.65,0.27,0.36,0.04,0.91,1761.34,2362.42,237.64,5990.1
CYYZ,EGLL,2,B77W,6,27.57,48.55,-27.9,92.1,0.17,0.2,-0.04,0.4,1361.42,1529.71,-297.33,3152.52
CYYZ,EGLL,2,B788,3,23.2,27.87,-3.73,45.23,0.34,0.22,0.13,0.53,1748.73,1153.41,688.54,2762.05
CYYZ,EGLL,2,B789,23,31.3,34.04,1.61,95.78,0.29,0.24,0.05,0.66,1576.47,1327.77,289.39,3627.64
CYYZ,EGLL,2,B78X,4,29.35,7.33,21.86,37.33,0.2,0.03,0.17,0.24,1318.95,217.79,1077.18,1532.92
CYYZ,EGLL,3,A333,8,36.56,56.29,5.86,125.51,0.24,0.26,-0.03,0.55,1495.5,1616.49,-196.15,3420.47
CYYZ,EGLL,3,A35K,6,32.42,17.21,9.12,47.65,0.3,0.22,0.12,0.62,1747.27,1282.34,691.98,3588.0
